Time,Channel A
(s),(V)

0.00000000,0.00976592
0.03333340,0.00442518
0.06666680,0.00732444
0.10000021,0.00915555
0.13333361,0.00366222
0.16666701,0.00671407
0.20000041,0.01007111
0.23333381,0.00549333
0.26666722,0.00778222
0.30000062,0.01022370
0.33333402,0.00488296
0.36666742,0.00808741
0.40000083,0.01037629
0.43333423,0.00534074
0.46666763,0.00671407
0.50000103,0.01007111
0.53333443,0.00457778
0.56666784,0.00747704
0.60000124,0.00976592
0.63333464,0.00534074
0.66666804,0.00762963
0.70000144,0.00991852
0.73333485,0.00701926
0.76666825,0.00854518
0.80000165,0.00930815
0.83333505,0.00564592
0.86666846,0.00747704
0.90000186,0.01159703
0.93333526,0.00747704
0.96666866,0.00762963
1.00000206,0.01098666
1.03333547,0.00579852
1.06666887,0.00747704
1.10000227,0.01129185
1.13333567,0.00701926
1.16666907,0.00824000
1.20000248,0.01052889
1.23333588,0.00610370
1.26666928,0.00793481
1.30000268,0.01052889
1.33333609,0.00747704
1.36666949,0.00854518
1.40000289,0.01037629
1.43333629,0.00686667
1.46666969,0.00747704
1.50000310,0.01129185
1.53333650,0.00579852
1.56666990,0.00732444
1.60000330,0.01159703
1.63333670,0.00579852
1.66667011,0.00747704
1.70000351,0.01022370
1.73333691,0.00579852
1.76667031,0.00778222
1.80000371,0.01022370
1.83333712,0.00656148
1.86667052,0.00793481
1.90000392,0.01052889
1.93333732,0.00656148
1.96667073,0.00640889
2.00000413,0.01022370
2.03333753,0.00579852
2.06667093,0.00747704
2.10000433,0.01052889
2.13333774,0.00732444
2.16667114,0.00564592
2.20000454,0.01007111
2.23333794,0.00518815
2.26667134,0.00625629
2.30000475,0.00915555
2.33333815,0.00625629
2.36667155,0.00610370
2.40000495,0.01007111
2.43333836,0.00534074
2.46667176,0.00396741
2.50000516,0.00915555
2.53333856,0.00625629
2.56667196,0.00457778
2.60000537,0.00915555
2.63333877,0.00747704
2.66667217,0.00534074
2.70000557,0.00946074
2.73333897,0.00610370
2.76667238,0.00396741
2.80000578,0.00808741
2.83333918,0.00564592
2.86667258,0.00305185
2.90000599,0.00747704
2.93333939,0.00625629
2.96667279,0.00442518
3.00000619,0.00824000
3.03333959,0.00610370
3.06667300,0.00274667
3.10000640,0.00808741
3.13333980,0.00457778
3.16667320,0.00274667
3.20000660,0.00686667
3.23334001,0.00534074
3.26667341,0.00259407
3.30000681,0.00686667
3.33334021,0.00488296
3.36667361,0.00213630
3.40000702,0.00625629
3.43334042,0.00427259
3.46667382,0.00152593
3.50000722,0.00640889
3.53334063,0.00518815
3.56667403,0.00091556
3.60000743,0.00549333
3.63334083,0.00396741
3.66667423,0.00122074
3.70000764,0.00427259
3.73334104,0.00412000
3.76667444,0.00213630
3.80000784,0.00610370
3.83334124,0.00366222
3.86667465,0.00030519
3.90000805,0.00457778
3.93334145,0.00335704
3.96667485,0.00030519
4.00000826,0.00488296
4.03334166,0.00259407
4.06667506,-0.00076296
4.10000846,0.00396741
4.13334186,0.00137333
4.16667527,0.00030519
4.20000867,0.00412000
4.23334207,0.00335704
4.26667547,0.00030519
4.30000887,0.00366222
4.33334228,0.00274667
4.36667568,0.00000000
4.40000908,0.00305185
4.43334248,0.00289926
4.46667589,-0.00076296
4.50000929,0.00244148
4.53334269,0.00274667
4.56667609,-0.00061037
4.60000949,0.00366222
4.63334290,0.00122074
4.66667630,-0.00228889
4.70000970,0.00122074
4.73334310,0.00152593
4.76667650,-0.00183111
4.80000991,0.00061037
4.83334331,0.00122074
4.86667671,-0.00228889
4.90001011,0.00091556
4.93334351,0.00152593
4.96667692,-0.00274667
5.00001032,0.00091556
5.03334372,0.00076296
5.06667712,-0.00427259
5.10001053,-0.00076296
5.13334393,0.00030519
5.16667733,-0.00503555
5.20001073,-0.00106815
5.23334413,-0.00076296
5.26667754,-0.00473037
5.30001094,-0.00076296
5.33334434,-0.00045778
5.36667774,-0.00503555
5.40001114,-0.00213630
5.43334455,-0.00061037
5.46667795,-0.00549333
5.50001135,-0.00289926
5.53334475,-0.00076296
5.56667816,-0.00579852
5.60001156,-0.00350963
5.63334496,-0.00091556
5.66667836,-0.00701926
5.70001176,-0.00350963
5.73334517,-0.00137333
5.76667857,-0.00671407
