Time,Channel A
0.00000000,0.01739555
0.00133340,0.01617481
0.00266680,0.01525925
0.00400020,0.01495407
0.00533360,0.01251259
0.00666700,0.01373333
0.00800040,0.01220740
0.00933380,0.01068148
0.01066720,0.01312296
0.01200060,0.01037629
0.01333400,0.01434370
0.01466740,0.01434370
0.01600080,0.01586962
0.01733420,0.01739555
0.01866760,0.01739555
0.02000100,0.01770074
0.02133440,0.01556444
0.02266780,0.01556444
0.02400120,0.01525925
0.02533460,0.01037629
0.02666800,0.01281777
0.02800140,0.01312296
0.02933480,0.01251259
0.03066820,0.01220740
0.03200160,0.01098666
0.03333500,0.01068148
0.03466840,0.01495407
0.03600180,0.01586962
0.03733520,0.01739555
0.03866860,0.01831111
0.04000200,0.01831111
0.04133540,0.01709037
0.04266880,0.01556444
0.04400220,0.01556444
0.04533560,0.01281777
0.04666900,0.01373333
0.04800240,0.01373333
0.04933580,0.01129185
0.05066920,0.01220740
0.05200260,0.01037629
0.05333600,0.01129185
0.05466940,0.01495407
0.05600280,0.01556444
0.05733620,0.01922666
0.05866960,0.01770074
0.06000300,0.01678518
0.06133640,0.01678518
0.06266980,0.01617481
0.06400320,0.01434370
0.06533660,0.01220740
0.06667000,0.01434370
0.06800340,0.01190222
0.06933680,0.01098666
0.07067020,0.01190222
0.07200360,0.01098666
0.07333700,0.01068148
0.07467040,0.01373333
0.07600380,0.01586962
0.07733720,0.01800592
0.07867060,0.01861629
0.08000400,0.01770074
0.08133740,0.01586962
0.08267080,0.01678518
0.08400420,0.01525925
0.08533760,0.01373333
0.08667100,0.01434370
0.08800440,0.01312296
0.08933780,0.01220740
0.09067120,0.01098666
0.09200460,0.01129185
0.09333800,0.01190222
0.09467140,0.01342814
0.09600480,0.01464888
0.09733820,0.01922666
0.09867160,0.01922666
0.10000500,0.01709037
0.10133840,0.01556444
0.10267180,0.01525925
0.10400520,0.01342814
0.10533860,0.01251259
0.10667200,0.01342814
0.10800540,0.01464888
0.10933880,0.01068148
0.11067220,0.01220740
0.11200560,0.01098666
0.11333900,0.01190222
0.11467240,0.01312296
0.11600580,0.01464888
0.11733920,0.01739555
0.11867260,0.01861629
0.12000600,0.01861629
0.12133940,0.01525925
0.12267280,0.01617481
0.12400620,0.01495407
0.12533960,0.01281777
0.12667300,0.01342814
0.12800640,0.01251259
0.12933980,0.01251259
0.13067320,0.01281777
0.13200660,0.01068148
0.13334000,0.01251259
0.13467340,0.01434370
0.13600680,0.01556444
0.13734020,0.01556444
0.13867360,0.01800592
0.14000700,0.01617481
0.14134040,0.01525925
0.14267380,0.01495407
0.14400720,0.01464888
0.14534060,0.01251259
0.14667400,0.01373333
0.14800740,0.01068148
0.14934080,0.01037629
0.15067420,0.01190222
0.15200760,0.01068148
0.15334100,0.01220740
0.15467440,0.01464888
0.15600780,0.01678518
0.15734120,0.01709037
0.15867460,0.01800592
0.16000800,0.01709037
0.16134140,0.01586962
0.16267480,0.01556444
0.16400820,0.01373333
0.16534160,0.01373333
0.16667500,0.01220740
0.16800840,0.01434370
0.16934180,0.01190222
0.17067520,0.01281777
0.17200860,0.01037629
0.17334200,0.01312296
0.17467540,0.01342814
0.17600880,0.01556444
0.17734220,0.01739555
0.17867560,0.01739555
0.18000900,0.01709037
0.18134240,0.01586962
0.18267580,0.01617481
0.18400920,0.01556444
0.18534260,0.01129185
0.18667600,0.01312296
0.18800940,0.01373333
0.18934280,0.01251259
0.19067620,0.01037629
0.19200960,0.01007111
0.19334300,0.01373333
0.19467640,0.01190222
0.19600980,0.01556444
0.19734320,0.01586962
0.19867660,0.01861629
0.20001000,0.01678518
0.20134340,0.01495407
0.20267680,0.01586962
0.20401020,0.01434370
0.20534360,0.01220740
0.20667700,0.01434370
